title,description,genres
The Take,"Michael Mason is an American pickpocket living in Paris who finds himself hunted by the CIA when he steals a bag that contains more than just a wallet. Sean Briar, the field agent on the case, soon realises that Michael is just a pawn in a much bigger game and is also his best asset to uncover a large-scale conspiracy.","['action', 'drama', 'crime', 'thriller']"
Nocturnal Animals,"Susan Morrow receives a book manuscript from her ex-husband – a man she left 20 years earlier – asking for her opinion of his writing. As she reads, she is drawn into the fictional life of Tony Hastings, a mathematics professor whose family vacation turns violent.","['thriller', 'drama']"
Raw,"In Justine’s family everyone is a vet and a vegetarian. At 16, she’s a gifted teen ready to take on her first year in vet school, where her older sister also studies. There, she gets no time to settle: hazing starts right away. Justine is forced to eat raw meat for the first time in her life. Unexpected consequences emerge as her true self begins to form.","['horror', 'drama', 'fantasy', 'european']"
The Hateful Eight,Bounty hunters seek shelter from a raging blizzard and get caught up in a plot of betrayal and deception.,"['thriller', 'western', 'drama', 'crime']"
Pan,"Living a bleak existence at a London orphanage, 12-year-old Peter finds himself whisked away to the fantastical world of Neverland. Adventure awaits as he meets new friend James Hook and the warrior Tiger Lily. They must band together to save Neverland from the ruthless pirate Blackbeard. Along the way, the rebellious and mischievous boy discovers his true destiny, becoming the hero forever known as Peter Pan.","['action', 'fantasy', 'family', 'comedy']"
The Gift,Simon and Robyn are a young married couple whose life is going as planned until a chance run-in with Simon's high school acquaintance sends their world into a tailspin.,"['drama', 'thriller', 'documentation']"
Wild Card,"When a Las Vegas bodyguard with lethal skills and a gambling problem gets in trouble with the mob, he has one last play… and it's all or nothing.","['action', 'thriller', 'crime', 'drama']"
"Hail, Caesar!","When a Hollywood star mysteriously disappears in the middle of filming, the studio sends their fixer to get him back.","['comedy', 'drama', 'music']"
Crimson Peak,"In the aftermath of a family tragedy, an aspiring author is torn between love for her childhood friend and the temptation of a mysterious outsider. Trying to escape the ghosts of her past, she is swept away to a house that breathes, bleeds… and remembers.","['horror', 'thriller', 'romance', 'fantasy', 'drama']"
Bāhubali: The Beginning,"The young Shivudu is left as a foundling in a small village by his mother. By the time he’s grown up, it has become apparent that he possesses exceptional gifts. He meets the beautiful warrior princess Avanthika and learns that her queen has been held captive for the last 25 years. Shividu sets off to rescue her, discovering his own origins in the process.","['action', 'drama', 'fantasy']"
Ouija: Origin of Evil,"In 1965 Los Angeles, a widowed mother and her two daughters add a new stunt to bolster their séance scam business and unwittingly invite authentic evil into their home. When the youngest daughter is overtaken by the merciless spirit, this small family confronts unthinkable fears to save her and send her possessor back to the other side.","['drama', 'horror', 'thriller']"
Sinister 2,A young mother and her twin sons move into a rural house that's marked for death.,"['horror', 'thriller']"
The Edge of Seventeen,"Two high school girls are best friends until one dates the other's older brother, who is totally his sister's nemesis.","['drama', 'comedy']"
London Has Fallen,"In London for the Prime Minister's funeral, Mike Banning discovers a plot to assassinate all the attending world leaders.","['action', 'thriller', 'drama', 'crime']"
A Silent Voice: The Movie,"Shouya Ishida starts bullying the new girl in class, Shouko Nishimiya, because she is deaf. But as the teasing continues, the rest of the class starts to turn on Shouya for his lack of compassion. When they leave elementary school, Shouko and Shouya do not speak to each other again... until an older, wiser Shouya, tormented by his past behaviour, decides he must see Shouko once more. He wants to atone for his sins, but is it already too late...?","['animation', 'drama', 'romance', 'family']"
Kung Fu Panda 3,"Continuing his ""legendary adventures of awesomeness"", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to his home.","['action', 'animation', 'family', 'fantasy', 'drama', 'comedy']"
Hush,A deaf woman is stalked by a psychotic killer in her secluded home.,"['horror', 'thriller']"
Mr. Right,"A girl falls for the ""perfect"" guy, who happens to have a very fatal flaw: he's a hitman on the run from the crime cartels who employ him.","['action', 'comedy', 'romance']"
The Boy,"An American nanny is shocked that her new English family's boy is actually a life-sized doll. After she violates a list of strict rules, disturbing events make her believe that the doll is really alive.","['horror', 'thriller']"
Steve Jobs,"Set backstage at three iconic product launches and ending in 1998 with the unveiling of the iMac, Steve Jobs takes us behind the scenes of the digital revolution to paint an intimate portrait of the brilliant man at its epicenter.","['history', 'drama']"
The Conjuring 2,"New Line Cinema's supernatural thriller The Conjuring 2, with James Wan (Furious 7) once again at the helm following the record-breaking success of The Conjuring, brings to the screen another real case from the files of renowned demonologists Ed and Lorraine Warren. Reprising their roles, Oscar nominee Vera Farmiga (Up In the Air, TV's Bates Motel) and Patrick Wilson (the Insidious films), star as Lorraine and Ed Warren, who, in one of their most terrifying paranormal investigations, travel to north London to help a single mother raising four children alone in a house plagued by malicious spirits.","['horror', 'thriller', 'drama']"
Home,"When Earth is taken over by the overly-confident Boov, an alien race in search of a new place to call home, all humans are promptly relocated, while all Boov get busy reorganizing the planet. But when one resourceful girl, Tip, manages to avoid capture, she finds herself the accidental accomplice of a banished Boov named Oh. The two fugitives realize there’s a lot more at stake than intergalactic relations as they embark on the road trip of a lifetime.","['family', 'fantasy', 'comedy', 'animation', 'scifi']"
Chappie,"Every child comes into the world full of promise, and none more so than Chappie: he is gifted, special, a prodigy. Like any child, Chappie will come under the influence of his surroundings—some good, some bad—and he will rely on his heart and soul to find his way in the world and become his own man. But there's one thing that makes Chappie different from any one else: he is a robot.","['crime', 'action', 'scifi', 'drama', 'thriller']"
Gantz:O,"Somewhere in Tokyo, there is a room. In that room is a black sphere. Periodically, people who should otherwise have died are transferred to the room. There, the sphere gives them special suits and weapons, and sends them out on a mission to kill aliens here on Earth. While these missions take place, the rest of the world is largely oblivious to them. These missions are lethal - few participants survive them. The sphere calls the shots, and it's not the slightest bit nice. Its name... Gantz.","['scifi', 'action', 'animation', 'fantasy', 'thriller', 'horror', 'drama']"
In a Valley of Violence,"The story of a drifter named Paul who arrives in a small town seeking revenge on the thugs who murdered his friend. Sisters Mary Anne and Ellen, who run the town's hotel, help Paul in his quest for vengeance.","['crime', 'thriller', 'western', 'action', 'drama']"
A Monster Calls,A boy imagines a monster that helps him deal with his difficult life and see the world in a different way.,"['drama', 'animation', 'family', 'fantasy', 'thriller', 'european']"
Christine,"In the 1970s, a television reporter Christine Chubbuck struggles with depression and professional frustrations as she tries to advance her career.",['drama']
Loving,"The story of Richard and Mildred Loving, an interracial couple, whose challenge of their anti-miscegenation arrest for their marriage in Virginia led to a legal battle that would end at the US Supreme Court.","['drama', 'romance']"
The Danish Girl,"When Gerda Wegener asks her husband Einar to fill in as a portrait model, Einar discovers the person she's meant to be and begins living her life as Lili Elbe. Having realized her true self and with Gerda's love and support, Lili embarks on a groundbreaking journey as a transgender pioneer.","['drama', 'romance', 'european']"
Under the Shadow,"After Shideh's building is hit by a missile during the Iran-Iraq War, a superstitious neighbor suggests that the missile was cursed and might be carrying malevolent Middle-Eastern spirits. She becomes convinced a supernatural force within the building is attempting to possess her daughter Dorsa, and she has no choice but to confront these forces if she is to save her daughter and herself.","['war', 'drama', 'horror', 'thriller', 'fantasy']"
The DUFF,"Bianca's universe turns upside down when she learns that her high school refers to her as a ‘DUFF' (Designated Ugly Fat Friend). Hoping to erase that label, she enlists the help of a charming jock and her favorite teacher. Together they'll face the school's mean girl and remind everyone that we are all someone's DUFF… and that's totally fine.","['comedy', 'romance']"
Unfriended,"While video chatting one night, six high school friends receive a Skype message from a classmate who killed herself exactly one year ago. At first they think it's a prank, but when the girl starts revealing the friends' darkest secrets, they realize they are dealing with something out of this world, something that wants them dead.","['thriller', 'horror', 'drama']"
Closet Monster,A creative and driven teenager is desperate to escape his hometown and the haunting memories of his turbulent childhood.,"['drama', 'fantasy']"
Self/less,An extremely wealthy elderly man dying from cancer undergoes a radical medical procedure that transfers his consciousness to the body of a healthy young man but everything may not be as good as it seems when he starts to uncover the mystery of the body's origins and the secret organization that will kill to keep its secrets.,"['thriller', 'action', 'scifi', 'drama']"
The Fundamentals of Caring,"Having suffered a tragedy, Ben becomes a caregiver to earn money. His first client, Trevor, is a hilarious 18-year-old with muscular dystrophy. One paralyzed emotionally, one paralyzed physically, Ben and Trevor hit the road on a trip into the western states. The folks they collect along the way will help them test their skills for surviving outside their calculated existence. Together, they come to understand the importance of hope and the necessity of true friendship.","['comedy', 'drama']"
"Hello, My Name Is Doris",A self-help seminar inspires a sixty-something woman to romantically pursue her younger co-worker.,"['drama', 'comedy', 'romance']"
Spectral,A special-ops team is dispatched to fight supernatural beings that have taken over a European city.,"['thriller', 'action', 'scifi']"
Other People,"David, a struggling comedy writer fresh off from breaking up with his boyfriend, moves from New York City to Sacramento to help his sick mother. Living with his conservative father and much-younger sisters for the first time in ten years, he feels like a stranger in his childhood home. As his mother’s health declines, David frantically tries to extract meaning from this horrible experience and convince everyone (including himself) that he's ""doing okay.”","['drama', 'comedy']"
Circle,"In a massive, mysterious chamber, fifty strangers awaken to find themselves trapped with no memory of how they got there. Organized in an inward-facing circle and unable to move, they quickly learn that every two minutes, one of them must die... executed by a strange device in the center of the room.","['thriller', 'drama', 'horror', 'scifi', 'european']"
Batman: The Killing Joke,"As Batman hunts for the escaped Joker, the Clown Prince of Crime attacks the Gordon family to prove a diabolical point mirroring his own fall into madness.","['animation', 'drama', 'action', 'thriller', 'crime']"
He Never Died,Jack is a solitary man with a mysterious past. His strange habits will soon become stranger when his past catches up with him.,"['fantasy', 'horror', 'comedy', 'drama', 'thriller']"
American Ultra,"Mike is an unmotivated stoner whose small-town life with his live-in girlfriend, Phoebe, is suddenly turned upside down.  Unbeknownst to him, Mike is actually a highly trained, lethal sleeper agent. In the blink of an eye, as his secret past comes back to haunt him, Mike is thrust into the middle of a deadly government operation and is forced to summon his inner action-hero in order to survive.","['action', 'comedy', 'scifi']"
13th,An in-depth look at the prison system in the United States and how it reveals the nation's history of racial inequality.,"['documentation', 'history', 'crime']"
Before I Wake,"In this intense and heart pounding supernatural thriller, Jessie (Kate Bosworth) and Mark (Thomas Jane) decide to take in a sweet and loving 8-year-old boy, Cody. Unbeknownst to them, Cody is terrified of falling asleep. At first, they assume his previous unstable homes caused his aversion to sleep, but soon discover why: Cody's dreams manifest in reality as he sleeps. In one moment they experience the incredible wonder of Cody's imagination, and in the next, the horrific nature of his night terrors. To save their new family, Jessie and Mark embark on a dangerous hunt to uncover the truth behind Cody's nightmares.","['drama', 'fantasy', 'horror', 'thriller']"
Blue Jay,"Meeting by chance when they return to their tiny California hometown, two former high-school sweethearts reflect on their shared past.","['romance', 'drama']"
Advantageous,"In a near-future city where soaring opulence overshadows economic hardship, Gwen and her daughter, Jules, do all they can to hold on to their joy, despite the instability surfacing in their world.","['drama', 'scifi', 'family']"
Into the Inferno,"With stunning views of eruptions and lava flows, Werner Herzog captures the raw power of volcanoes and their ties to indigenous spiritual practices.",['documentation']
Collateral Beauty,"Retreating from life after a tragedy, a man questions the universe by writing to Love, Time and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss can reveal moments of meaning and beauty.","['romance', 'drama']"
Beasts of No Nation,"Based on the experiences of Agu, a child fighting in the civil war of an unnamed, fictional West African country. Follows Agu's journey as he's forced to join a group of soldiers. While he fears his commander and many of the men around him, his fledgling childhood has been brutally shattered by the war raging through his country, and he is at first torn between conflicting revulsion and fascination.","['drama', 'war']"
ARQ,Two old friends living in a dystopic future become trapped in a mysterious time loop — one that may have something to do with an ongoing battle between an omnipotent corporation and a ragtag band of rebels.,"['scifi', 'thriller', 'action']"
The Forest,"Set in the Aokigahara Forest, a real-life place in Japan where people go to end their lives. Against this backdrop, a young American woman comes in search of her twin sister, who has mysteriously disappeared.","['horror', 'thriller', 'scifi', 'drama', 'fantasy']"
"What Happened, Miss Simone?","The film chronicles Nina Simone's journey from child piano prodigy to iconic musician and passionate activist, told in her own words.","['music', 'documentation']"
The Bye Bye Man,"When three college students move into an old house off campus, they unwittingly unleash a supernatural entity known as The Bye Bye Man, who comes to prey upon them once they discover his name. The friends must try to save each other, all the while keeping The Bye Bye Man's existence a secret to save others from the same deadly fate.","['thriller', 'horror', 'fantasy', 'drama']"
Ip Man 3,"When a band of brutal gangsters led by a crooked property developer make a play to take over the city, Master Ip is forced to take a stand.","['action', 'drama', 'history']"
The Space Between Us,"In this interplanetary adventure, a space shuttle embarks on the first mission to colonize Mars, only to discover after takeoff that one of the astronauts is pregnant. Shortly after landing, she dies from complications while giving birth to the first human born on the red planet – never revealing who the father is. Thus begins the extraordinary life of Gardner Elliot – an inquisitive, highly intelligent boy who reaches the age of 16 having only met 14 people in his very unconventional upbringing.","['drama', 'romance', 'action', 'scifi']"
Demonic,A police officer and a psychologist investigate the deaths of five people who were killed while trying to summon ghosts.,"['thriller', 'horror']"
Winter on Fire: Ukraine's Fight for Freedom,"A documentary on the unrest in Ukraine during 2013 and 2014, as student demonstrations supporting European integration grew into a violent revolution calling for the resignation of President Viktor F. Yanukovich.",['documentation']
Mascots,Eager contestants don big heads and furry suits to vie for the title of World's Best Mascot.,['comedy']
The Siege of Jadotville,Irish Commandant Pat Quinlan leads a stand off with troops against French and Belgian Mercenaries in the Congo during the early 1960s.,"['war', 'drama', 'thriller', 'action', 'history', 'european']"
Visaranai,"Pandi and his friends, immigrant workers in Andhra Pradesh, are picked up by cops for a crime they never committed. And thus begins their nightmare, where they become pawns in a vicious game where the voiceless are strangled by those with power.","['thriller', 'drama', 'crime']"
By the Sea,"Set in France during the mid-1970s, Vanessa, a former dancer, and her husband Roland, an American writer, travel the country together. They seem to be growing apart, but when they linger in one quiet, seaside town they begin to draw close to some of its more vibrant inhabitants, such as a local bar/café-keeper and a hotel owner.","['drama', 'romance', 'european']"
Boyka: Undisputed IV,"In the fourth installment of the fighting franchise, Boyka is shooting for the big leagues when an accidental death in the ring makes him question everything he stands for. When he finds out the wife of the man he accidentally killed is in trouble, Boyka offers to fight in a series of impossible battles to free her from a life of servitude.","['action', 'drama', 'european']"
Team Foxcatcher,"With never-before seen home video, this film recounts the paranoid downward spiral of John E. du Pont and the murder of Olympic wrestler Dave Schultz.","['documentation', 'crime', 'history', 'sport']"
The Ridiculous 6,"When his long-lost outlaw father returns, Tommy ""White Knife"" Stockburn goes on an adventure-filled journey across the Old West with his five brothers.","['western', 'comedy', 'action']"
Bo Burnham: Make Happy,"Combining his trademark wit and self-deprecating humor with original music, Bo Burnham offers up his unique twist on life in this stand-up special about  life, death, sexuality, hypocrisy, mental illness and Pringles cans.","['comedy', 'music', 'documentation']"
The Do-Over,The life of a bank manager is turned upside down when a friend from his past manipulates him into faking his own death and taking off on an adventure.,"['action', 'comedy']"
Suffragette,Based on true events about the foot soldiers of the early feminist movement who were forced underground to evade the State.,"['drama', 'history']"
Headshot,"A young man washes ashore, his memory gone - but his past comes back to haunt him after he is nursed back to health and his killing ability is needed when he takes on a powerful drug lord.","['thriller', 'action', 'drama']"
Jem and the Holograms,"As a small-town girl catapults from underground video sensation to global superstar, she and her three sisters begin a one-in-a-million journey of discovering that some talents are too special to keep hidden. Four aspiring musicians will take the world by storm when they see that the key to creating your own destiny lies in finding your own voice.","['fantasy', 'music', 'romance', 'scifi', 'drama', 'family']"
Sleight,"A young street magician is left to take care of his little sister after his mother's passing and turns to drug dealing in the Los Angeles party scene to keep a roof over their heads. When he gets into trouble with his supplier, his sister is kidnapped and he is forced to rely on both his sleight of hand and brilliant mind to save her.","['drama', 'thriller', 'action', 'scifi', 'crime']"
Hot Girls Wanted,A first-ever look at the realities of the professional “amateur” porn world and the steady stream of 18-to-19-year old girls entering into it.,['documentation']
The Distinguished Citizen,"After refusing big and prestigious awards all over the world, Mr. Mantovani, Literature Nobel Prize winner, accepts an invitation to visit his hometown in Argentina, which has been the inspiration for all of his books. It turns out that accepting this invitation is the worse idea of his life. Expect the unexpected when you have used real people as characters in your novels!","['drama', 'comedy', 'european']"
"Crouching Tiger, Hidden Dragon: Sword of Destiny","A story of lost love, young love, a legendary sword and one last opportunity at redemption.","['drama', 'action', 'fantasy']"
Mindhorn,"A washed up actor best known for playing the title character in the 1980s detective show ""Mindhorn"" must work with the police when a serial killer says that he will only speak with Detective Mindhorn, whom he believes to be real.","['comedy', 'thriller']"
I Am the Pretty Thing That Lives in the House,A young nurse takes care of elderly author who lives in a haunted house.,"['horror', 'thriller', 'drama']"
Pee-wee's Big Holiday,A fateful meeting with a mysterious stranger inspires Pee-wee Herman to take his first-ever holiday.,"['action', 'comedy', 'family']"
You're My Boss,"A woman who is looking for acceptance, who's looking for love, who wants to be appreciated and who wants to belong find what she's looking for from her personal assistant.","['comedy', 'romance']"
White Girl,"Summer, New York City. A college girl falls hard for a guy she just met. After a night of partying goes wrong, she goes to wild extremes to get him back.","['drama', 'horror', 'crime']"
Frank & Lola,A talented Las Vegas chef falls in love with an aspiring fashion designer but turns violently jealous when he realizes that she's hiding dark secrets.,"['drama', 'romance', 'crime', 'thriller']"
The Visit,"Two couples living together in the same building, but with completely different lifestyles, find themselves bearing secrets and shocking revelations which sets them on course for something they never bargained for.","['thriller', 'comedy', 'romance']"
Barry,A biopic of Barack Obama set during his time as a college student in New York City.,['drama']
David Brent: Life on the Road,"A camera crew catches up with David Brent, the former star of the fictional British series, ""The Office"" as he now fancies himself a rockstar on the road.","['comedy', 'music', 'action']"
Güeros,"Set amidst the 1999 student strikes in Mexico City, this coming-of-age tale finds two brothers venturing through the city in a sentimental search for an aging legendary musician. Shot in black-and-white, Güeros brims with youthful exuberance.","['drama', 'comedy']"
Front Cover,"One man does all he can to veil his Asian heritage; the other takes great pains to hide his sexual orientation. Both of these things begin to change when Ryan is hired to prepare film star Ning for a fashion shoot, and the men develop a bond.","['drama', 'romance', 'comedy']"
Rocco,"Rocco Siffredi is to pornography what Mike Tyson is to boxing or Mick Jagger is to rock’n’roll: a living legend. His mother wanted him to be a priest; with her blessing he became a hardcore performer, devoting his life to one God only: Desire. Rocco Siffredi reveals all, even if it sometimes means busting his own myth: his true story, beginnings, career, wife and children… and the ultimate revelation that will change his life forever.","['documentation', 'european']"
Ratchet & Clank,"When the galaxy comes under the threat of a nefarious space captain, a mechanic and his newfound robot ally join an elite squad of combatants to save the universe.","['animation', 'family', 'action', 'comedy', 'scifi', 'fantasy']"
The Darkness,A family returns from a Grand Canyon vacation with a supernatural presence in tow.,"['thriller', 'horror']"
Marco Polo: One Hundred Eyes,Before he lost his sight. Before he pledged his service to Kublai Khan. Hundred Eyes saw what made him into the deadly assassin who trains Marco Polo.,"['action', 'drama', 'history']"
Tramps,A young man and woman find love in an unlikely place while carrying out a shady deal.,"['comedy', 'romance', 'documentation', 'european']"
LEGO Marvel Super Heroes: Avengers Reassembled!,The Avengers are forced to “party” with Ultron when he seeks to disassemble the team by taking control of Iron Man’s armor and enact a nefarious scheme to take over the world.,"['family', 'animation', 'action', 'comedy', 'scifi']"
Marauders,An untraceable group of elite bank robbers is chased by a suicidal FBI agent who uncovers a deeper purpose behind the robbery-homicides.,"['crime', 'thriller', 'action']"
Special Correspondents,A radio journalist and his technician get in over their heads when they hatch a scheme to fake their own kidnapping during a rebel uprising in South America and hide out in New York instead.,['comedy']
Baaghi,"Ronny is a rebellious man, who falls in love with Sia but circumstances separate them. Years later, Ronny learns that Sia is abducted by a martial arts champion, Raghav.","['romance', 'action', 'thriller']"
Tallulah,"Desperate to be rid of her toddler, a dissatisfied Beverly Hills housewife hires a stranger to babysit and ends up getting much more than she bargained for.","['drama', 'comedy', 'romance']"
Bert Kreischer: The Machine,Storyteller Bert Kreischer expounds on a series of incredible and hilarious tales - from an unforgettable run-in with a grizzly bear to his legendary travels in Russia.,['comedy']
Amanda Knox,"This gripping, atmospheric documentary recounts the infamous trial, conviction and eventual acquittal of Seattle native Amanda Knox for the 2007 murder of a British exchange student in Italy.","['documentation', 'crime', 'european']"
Sniper: Ghost Shooter,"Elite snipers Brandon Beckett and Richard Miller are tasked with protecting a gas pipeline from terrorists looking to make a statement. When battles with the enemy lead to snipers being killed by a ghost shooter who knows their exact location, tensions boil as a security breach is suspected. Is there someone working with the enemy on the inside? Is the mission a front for other activity? Is the Colonel pulling the strings?","['action', 'drama', 'war']"
Results,"Two mismatched personal trainers' lives are upended by the actions of a new, wealthy client.","['comedy', 'romance']"
Sebastian Maniscalco: Why Would You Do That?,Comedian Sebastian Maniscalco performs his third Showtime special at the Beacon Theatre in Manhattan.,['comedy']
The Young Messiah,"Tells the story of Jesus Christ at age seven as he and his family depart Egypt to return home to Nazareth. Told from his childhood perspective, it follows young Jesus as he grows into his religious identity.","['history', 'drama', 'fantasy']"
Term Life,"If Nick Barrow can stay alive for 21 days, he'll die happy. Everyone Nick knows wants him dead; Mob bosses, contract killers, and dirty cops. Performing the last act of a desperate man, Nick takes out a million dollar insurance policy on himself, payable to his estranged daughter. The problem? The policy doesn't take effect for 21 days. Nick knows they'll be lucky to be alive for twenty-one hours.","['thriller', 'drama', 'action', 'crime']"
For the Love of Spock,"The life of Star Trek's Mr. Spock — as well as that of Leonard Nimoy, the actor who played Mr. Spock for almost fifty years —written and directed by his son, Adam.",['documentation']
John Mulaney: The Comeback Kid,"Armed with boyish charm and a sharp wit, the former ""SNL"" writer offers sly takes on marriage, his beef with babies and the time he met Bill Clinton.","['comedy', 'documentation']"
Incarnate,An exorcist comes up against an evil from his past when he uses his skills to enter the mind of a nine year old boy.,"['horror', 'thriller']"
Message from the King,"On a relentless quest to avenge his sister's murder, a man from Cape Town infiltrates a sprawling network of lowlifes and elites in Los Angeles.","['thriller', 'action', 'crime', 'drama', 'european']"
Kung Fu Panda: Secrets of the Scroll,"As Po looks for his lost action figures, the story of how the panda inadvertently helped create the Furious Five is told.","['comedy', 'animation', 'family']"
Anthony Jeselnik: Thoughts and Prayers,There's no subject too dark as the comedian skewers taboos and riffs on national tragedies before pulling back the curtain on his provocative style.,['comedy']
LEGO Jurassic World: The Indominus Escape,The scientists of Jurassic World create a captivating and terrifying new creature that loves hot dogs. But what happens when the hot dogs run out?,"['family', 'animation', 'comedy']"
The Warriors Gate,"After a mysterious chest opens a gateway through time, teen gamer Jack is transported to an ancient empire terrorized by a cruel barbarian king. Jack will need all of his gaming skills as he battles to defeat the barbarian, protect a beautiful princess, and somehow find his way back home.","['action', 'family', 'fantasy', 'comedy', 'european']"
Tig,"An intimate documentary that follows Tig Notaro, a Los Angeles based comedian, who just days after being diagnosed with invasive stage II breast cancer changed the course of her career with a poignant stand-up set that became legendary overnight. It explores Tig's extraordinary journey as her career ignites and as her life unfolds in grand and unexpected ways, all the while continuing to battle a life-threatening illness and falling in love.",['documentation']
Drishyam,"A simple, street-smart man tries to protect his family from a tough cop looking for his missing son.","['thriller', 'crime', 'drama']"
Taxi Driver,"A small-town mechanic turned chauffeur for the mob gets caught up in the troubles of a beautiful sex worker, in this Scorsese-meets-Nollywood crime comedy that transforms the fast-paced and vibrant city of Lagos into an expressionistic film noir metropolis.","['comedy', 'crime', 'drama']"
The Dreamseller,The main actor believes that true success is the attaining WHAT money can't buy and encourages people to follow their dreams. He forms a huge following which becomes cult like following. Officials start feeling threatened and conspire to kill him.,['drama']
Lavender,A photographer struggling with memory loss discovers her pictures may indicate something sinister is hitting close to home.,"['drama', 'thriller']"
Ali Wong: Baby Cobra,"Ali Wong might be seven-months pregnant, but there’s not a fetus in the world that can stop this acerbic and savage train of comedy from delivering a masterful hour of stand-up.",['comedy']
Hyena Road,"Three different men, three different worlds, three different wars – all stand at the intersection of modern warfare – a murky world of fluid morality where all is not as it seems.","['drama', 'thriller', 'war', 'action']"
Septembers of Shiraz,"In this adaptation of the critically acclaimed debut novel by Iranian American author Dalia Sofer, a secular Jewish family is caught up in the maelstrom of the 1979 Iranian Revolution.","['drama', 'thriller', 'western']"
A Very Murray Christmas,"Bill Murray worries no one will show up to his TV show due to a massive snowstorm in New York City. Through luck and perseverance, guests arrive at Gotham’s Carlyle Hotel to help him — dancing and singing in holiday spirit.","['comedy', 'music']"
Divines,"In a ghetto where religion and drug trafficking rub shoulders, Dounia has a lust for power and success. Supported by Maimouna, her best friend, she decides to follow in the footsteps of Rebecca, a respected dealer. But her encounter with Djigui, a young, disturbingly sensual dancer, throws her off course.","['drama', 'crime', 'european']"
Audrie & Daisy,"A documentary film about three cases of rape, that includes the stories of two American high school students, Audrie Pott and Daisy Coleman. At the time of the sexual assaults, Pott was 15 and Coleman was 14 years old. After the assaults, the victims and their families were subjected to abuse and cyberbullying.","['documentation', 'crime']"
Always Be My Maybe,The story of Tintin and Jake as they both try recover from their respective failed relationships.,"['comedy', 'romance']"
Pandora,"When an earthquake hits a Korean village housing a run-down nuclear power plant, a man risks his life to save the country from imminent disaster.","['thriller', 'drama', 'action']"
Keith Richards: Under the Influence,"A portrait of Keith Richards that takes us on a journey to discover the genesis of his sound as a songwriter, guitarist and performer.","['documentation', 'music']"
"Surviving Compton: Dre, Suge and Michel'le","Discovered at a young age, the shy, squeaky-voiced Michel'le was plucked straight from South Central, Los Angeles and catapulted into the spotlight while riding N.W.A.'s rocket ride of early success. Surrounded by industry visionaries from Eazy-E to Tupack Skaur, Michel'le quickly climbed the charts, but her musical successes were soon overshadowed by betrayal and corruption. A nearly decade-long romance with the infamous Dr. Dre pushed her into a life tarnished by alcohol, drugs and violence until her savior came in the unlikely form of Suge Knight, co-founder of Death Row Records and Dre's business partner. Friendship would turn into a courtly romance, but the union Michel'le thought they had did not end happily ever after. With children from both men and a career to protect, Michel'le's voice became silenced by Compton's biggest power players. Until now.","['drama', 'documentation']"
Colin Quinn: The New York Story,"The ""SNL"" veteran performs his off-Broadway show about the history of New York and the people who shape its personality.",['comedy']
Hawaizaada,"In 1895, Shivkar Bapuji Talpade constructs and flies India's first unmanned plane, despite having the odds stacked against him.","['history', 'drama', 'fantasy']"
Riot,"Copper Jack Stone purposefully orchestrates a bank robbery in order to be thrown into prison with the notorious Russian kingpin Balam. Balam is more than just a mob criminal; he's a very cunning and dangerous lord who controls the police force from behind bars. Balam lives in prison as a cover for his real power, which is King of the city. His cell is a lavish private room built specifically for him, inaccessible to most in the depths of the prison structure. Even the warden fears venturing into his area of the prison. However, even surrounded by his loyal henchmen and guards in his sectioned off fortress, Balam doesn't know Jack is coming for him to avenge his family, who Balam murdered in cold blood. Balam is tough... but Jack is tougher.",['action']
Kevin Hart: What Now?,"In Universal Pictures’ Kevin Hart: What Now?, comedic rock-star Kevin Hart follows up his 2013 hit stand-up concert movie Let Me Explain, which grossed $32 million domestically and became the third-highest live stand-up comedy movie of all time. Hart takes center stage in this groundbreaking, record-setting, sold-out performance of “What Now?”—filmed outdoors in front of 50,000 people at Philadelphia’s Lincoln Financial Field—marking the first time a comedian has ever performed to an at-capacity football stadium.","['comedy', 'documentation']"
Legends of the Hidden Temple,Three siblings who break away from a lackluster temple tour in a jungle finds themselves immersed in a real-life mission comprised of obstacles that they must complete in order to escape alive.,"['action', 'family']"
Veteran,"When an old collaborator gets severely injured, a veteran policeman tries to figure out the way to bring to justice the ultimately suspected aggressor, a spoiled young executive, heir to a mega corporation, who believes he is above the law.","['comedy', 'crime', 'action', 'thriller']"
Opening Night,A failed Broadway singer who now works as a production manager must save opening night on his new production by wrangling his eccentric cast and crew.,"['comedy', 'thriller', 'drama', 'crime', 'action']"
Raman Raghav 2.0,A corrupt cop and a serial killer obsessed with a psychopath from the '60s get caught up in a ruthless cat-and-mouse game.,"['crime', 'thriller', 'drama']"
The 101-Year-Old Man Who Skipped Out on the Bill and Disappeared,"Drinking the tasty Folk Soda puts a spring in the 101 Year Old Man’s step and his next adventure takes him around the World and back to Sweden, during which time he is chased by the CIA, a Balinese debt collector and becomes an executive at a soft drink company.","['action', 'comedy', 'crime', 'european']"
6 Years,"A young couple bound by a seemingly ideal love, begins to unravel as unexpected opportunities spin them down a volatile and violent path and threaten the future they had always imagined.","['drama', 'romance']"
